id	name	year	rating	runtime	genre	earnings_rank
81398	Raging Bull	1980	R	129	D	\N
78841	Being There	1979	PG	130	C,D	\N
79417	Kramer vs. Kramer	1979	PG	105	D	\N
79638	Norma Rae	1979	PG	110	D	\N
77975	Animal House	1978	R	109	C	\N
77289	California Suite	1978	PG	103	C,D	\N
77362	Coming Home	1978	R	126	D,W	\N
77416	Deer Hunter, The	1978	R	183	D,W	\N
78346	Superman	1978	PG	143	A,V,S	\N
75686	Annie Hall	1977	PG	93	C,R	\N
76095	Goodbye Girl, The	1977	PG	110	C,R	\N
76245	Julia	1977	PG	118	D	\N
76666	Saturday Night Fever	1977	PG	118	D,R	\N
74119	All the President's Men	1976	PG	138	D,T	\N
74958	Network	1976	R	120	C,D	\N
75148	Rocky	1976	PG	119	D,R	\N
73486	One Flew Over the Cuckoo's Nest	1975	R	133	C,D	\N
73629	Rocky Horror Picture Show, The	1975	R	100	C,H,L,S	\N
73692	Shampoo	1975	R	109	C,R	\N
73766	Sunshine Boys, The	1975	PG	111	C	\N
71115	Alice Doesn't Live Here Anymore	1974	PG	112	D	\N
71562	Godfather: Part II, The	1974	R	200	D	\N
71598	Harry and Tonto	1974	R	115	D	\N
71877	Murder on the Orient Express	1974	PG	128	M	\N
70509	Paper Chase, The	1973	PG	112	D	\N
70510	Paper Moon	1973	PG	102	C,D	\N
70640	Save the Tiger	1973	R	100	D	\N
70735	Sting, The	1973	PG	129	C,D	\N
70819	Touch of Class, A	1973	PG	105	C	\N
68326	Butterflies Are Free	1972	PG	109	C,D,R	\N
68327	Cabaret	1972	PG	124	D,L,W	\N
68646	Godfather, The	1972	R	175	D	\N
67116	French Connection, The	1971	R	104	A,D,T	\N
67309	Klute	1971	R	114	D,M,T	\N
67328	Last Picture Show, The	1971	R	118	D	\N
65377	Airport	1970	G	137	D,T	\N
66206	Patton	1970	M	170	D,W	\N
66319	Ryan's Daughter	1970	GP	187	D,R	\N
64117	Cactus Flower	1969	M	103	C	\N
64665	Midnight Cowboy	1969	R	113	D	\N
64840	Prime of Miss Jean Brodie, The	1969	M	116	D	\N
65088	They Shoot Horses, Don't They?	1969	M	120	D	\N
65126	True Grit	1969	G	128	V,E	\N
66579	Women in Love	1969	R	131	D,R	\N
62794	Charly	1968	PG	103	D,S	\N
62994	Funny Girl	1968	G	151	D,L,R	\N
63385	Oliver!	1968	G	153	D,F,L	\N
63522	Rosemary's Baby	1968	\N	136	D,H,T	\N
63654	Subject Was Roses, The	1968	G	107	D	\N
63227	The Lion in Winter	1968	PG	134	D	\N
61418	Bonnie and Clyde	1967	M	111	D,R	\N
61512	Cool Hand Luke	1967	\N	126	D	\N
61722	Graduate, The	1967	PG	105	C,D,R	\N
61735	Guess Who's Coming to Dinner	1967	\N	108	C,D	\N
61811	In the Heat of the Night	1967	\N	109	D,M	\N
61852	Jungle Book, The	1967	G	78	N,C,F,L	\N
60424	Fortune Cookie, The	1966	\N	125	C,D,R	\N
60665	Man for All Seasons, A	1966	\N	120	D	\N
61184	Who's Afraid of Virginia Woolf?	1966	\N	134	D,T	\N
59017	Cat Ballou	1965	\N	97	C,E	\N
59084	Darling	1965	\N	128	D	\N
59573	Patch of Blue, A	1965	\N	105	D	\N
59798	Thousand Clowns, A	1965	\N	118	C,D,R	\N
57831	Alexis Zorbas	1964	\N	142	D	\N
58331	Mary Poppins	1964	G	140	C,D,F,Y,L	\N
58385	My Fair Lady	1964	G	170	C,D,F,L,R	\N
58672	Topkapi	1964	\N	119	V,C,T	\N
57163	Hud	1963	\N	112	D,E	\N
57251	Lilies of the Field	1963	\N	94	C,D	\N
57590	Tom Jones	1963	\N	121	V,C,R	\N
57634	V.I.P.s, The	1963	\N	119	D	\N
56172	Lawrence of Arabia	1962	PG	216	V,D,W	\N
56241	Miracle Worker, The	1962	\N	106	D	\N
56541	Sweet Bird of Youth	1962	\N	120	D	\N
56592	To Kill a Mockingbird	1962	\N	129	D	\N
55031	Judgment at Nuremberg	1961	\N	178	D	\N
55254	One Hundred and One Dalmatians	1961	G	79	N,C,F,T	\N
55614	West Side Story	1961	\N	151	D,L,R	\N
53604	Apartment, The	1960	\N	125	C,D,R	\N
53622	BUtterfield 8	1960	\N	109	D	\N
54749	Ciociara, La	1960	\N	100	D,W	\N
53793	Elmer Gantry	1960	\N	146	D	\N
54331	Spartacus	1960	PG13	184	A,D,R,W	\N
52618	Ben-Hur	1959	G	212	A,V,D,R	\N
52738	Diary of Anne Frank, The	1959	\N	180	D,W	\N
53226	Room at the Top	1959	\N	115	D	\N
51411	Big Country, The	1958	\N	165	D,R,E	\N
51658	Gigi	1958	G	119	C,L,R	\N
51758	I Want to Live!	1958	\N	120	D	\N
52182	Separate Tables	1958	\N	100	D	\N
50212	Bridge on the River Kwai, The	1957	PG	161	V,D,W	\N
50933	Sayonara	1957	\N	147	D,R	\N
51077	Three Faces of Eve, The	1957	\N	91	D	\N
48947	Anastasia	1956	\N	105	D	\N
48960	Around the World in Eighty Days	1956	\N	188	V,C	\N
49261	Giant	1956	G	201	D	\N
